"team_image_id","team_id","image_url"
112,19,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/4ca780e4-c30e-4f89-a9f7-7aa8b8376e8f.png
113,19,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/42747cab-03c5-46a8-af37-dd9d1b2c3396.png
114,19,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/fe3ab1d6-b25c-41c2-8171-781422fc7657.png
120,21,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/7aa515e6-2c66-4837-a817-8dbffc50864b.png
125,22,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/677e286b-c22c-4e39-b790-2932a526540c.png
126,22,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/11e62a56-457d-4428-bec6-6c9d36fb1bcd.png
127,22,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/b294c63b-8bb8-4337-98e4-7008986db2ae.png
128,23,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/77f1c746-0f0f-48de-ba91-2729adf9de8b.png
129,23,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/5986bed8-e2dd-4d16-b360-5b552bc086e9.png
130,24,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/0fbfa62f-c4dd-4e16-821c-73a56454e4b8.png
131,24,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/cb4aa20a-b230-47a1-97c0-b86ed53456b0.png
132,24,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/aeb046c2-b54f-455e-bbc1-ac0a536a1ff1.png
133,25,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/d6038b84-edcd-4ebf-9141-4c8055c902d4.png
134,25,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/d537719a-15cc-4238-a270-57a73f28b342.png
135,25,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/346840ed-bd55-4e7f-b5a8-6258494af25f.png
136,26,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/d86128b6-eed4-427a-8685-dfce1fc3228d.png
137,26,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/c245c5ec-8517-4b30-a27b-96fd14f6faf3.png
138,27,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/47c0330f-c311-4030-b3c5-adc2626c769a.png
139,27,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/7e7ca1a8-46ac-435f-bf96-d99180a773ee.png
140,27,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/dcc03d1b-f56c-48bb-9820-444465df94a0.png
141,28,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/d26c4ccd-a1af-4294-9091-4a42a942ccb8.png
142,28,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/601ed862-cb7f-4d83-90b8-c205f3be4006.png
143,29,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/f7621066-b9cb-476e-865d-2fa48ca965d2.png
144,29,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/9818775c-74da-4436-a7a3-27b6d4061013.png
145,30,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/dbd0b47b-3ec2-4bc3-aea6-08ffa647113c.png
146,30,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/c4cb481c-fbfc-4c3a-bebd-a461e9df4d9a.png
147,31,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/30bf7328-a4d9-482c-b110-09fe368f0b52.png
148,31,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/b71adb63-ab31-419e-a454-82832d108a1e.png
149,32,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/f804a7ec-824f-4d4d-9d0d-de94d566dc64.png
150,32,https://go-ski.s3.ap-northeast-2.amazonaws.com/team-image/fd337e6e-5589-4798-b1fa-6f2f972e23fa.png
