"inst_cert_id","instructor_id","certificate_id","certificate_image_url"
3,24,3,https://go-ski.s3.ap-northeast-2.amazonaws.com/certificate/24/cert-1.png
4,24,6,https://go-ski.s3.ap-northeast-2.amazonaws.com/certificate/24/cert-1.png
5,24,2,https://go-ski.s3.ap-northeast-2.amazonaws.com/certificate/24/cert-3.png
7,42,3,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
8,42,6,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert3.jpg
10,44,2,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
11,44,5,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert3.jpg
12,45,9,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching2.jpg
13,45,12,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson2.png
15,46,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
16,46,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
18,47,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
19,47,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
21,48,3,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson3.jpg
22,48,6,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching3.png
23,48,10,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson3.jpg
24,49,2,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson2.jpg
25,49,5,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching2.jpg
26,49,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
27,50,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
28,50,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
29,50,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
30,51,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
31,51,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
32,51,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
33,52,3,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson3.jpg
34,52,6,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching3.png
35,52,10,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson3.jpg
36,53,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
37,53,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
38,53,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
39,54,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
40,54,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
41,54,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
42,55,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
43,55,9,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
44,55,11,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
45,56,2,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
46,56,5,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
47,56,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
48,57,3,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
49,57,10,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
50,57,13,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert3.jpg
51,58,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
52,58,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
53,58,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
54,59,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
55,59,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
56,59,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
57,60,2,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
58,60,5,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
59,60,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
60,61,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
61,61,9,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
62,61,12,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert3.jpg
63,62,2,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
64,62,5,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
65,62,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
66,63,3,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
67,63,6,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
68,63,10,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson3.jpg
69,64,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
70,64,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
71,64,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
72,65,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
73,65,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
74,65,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
75,66,2,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
76,66,5,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
77,66,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
78,67,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
79,67,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
80,67,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
81,68,1,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-lesson1.jpg
82,68,4,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching1.jpg
83,68,8,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson1.png
84,69,3,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-ski-teaching3.png
85,69,10,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-lesson3.jpg
86,69,13,https://go-ski.s3.ap-northeast-2.amazonaws.com/basic/cert-board-teaching3.png
