"lesson_id","lesson_date","start_time","lesson_type","student_count","request_complain","lesson_status","duration"
55,"2024-05-07 00:00:00","1500","1010000",3,,1,4
57,"2024-05-07 00:00:00","1400","1010000",3,,1,4
58,"2024-05-05 00:00:00","1630","1010000",1,,1,4
59,"2024-05-07 00:00:00","1850","1010000",2,,1,4
62,"2024-05-10 00:00:00","0800","1010000",3,,2,4
63,"2024-05-05 00:00:00","0800","1010000",3,,1,4
64,"2024-05-05 00:00:00","1330","1010000",3,,1,4
68,"2024-05-07 00:00:00","1730","1010000",3,,1,4
82,"2024-05-08 00:00:00","1000","1010000",3,,1,4
85,"2024-05-10 00:00:00","1000","1010000",3,,1,4
86,"2024-05-15 00:00:00","1000","1010000",3,,2,4
87,"2024-05-15 00:00:00","1400","1010000",3,,0,4
88,"2024-05-15 00:00:00","1400","1010000",3,,2,4
97,"2024-05-13 00:00:00","1400","1010000",3,,1,4
100,"2024-05-13 00:00:00","1400","1010000",3,,1,4
101,"2024-05-13 00:00:00","1400","1010000",3,,1,4
104,"2024-05-15 00:00:00","1400","1010000",3,,1,4
105,"2024-05-09 00:00:00","1200","1010000",3,,1,6
106,"2024-05-09 00:00:00","1400","1010000",2,,1,3
107,"2024-05-10 00:00:00","1200","1010000",3,,1,6
109,"2024-05-11 00:00:00","1200","1010000",3,,1,6
110,"2024-05-01 00:00:00","1200","1010000",3,,1,4
111,"2024-05-02 00:00:00","0900","1010000",3,,0,4
112,"2024-05-03 00:00:00","1400","1010000",2,,0,4
117,"2024-05-12 00:00:00","0900","1010000",2,,0,4
118,"2024-05-12 00:00:00","1400","1010000",3,,0,4
119,"2024-05-13 00:00:00","0930","1010000",3,,0,3
135,"2024-05-24 00:00:00","1830","1010000",3,,0,4
138,"2024-05-14 00:00:00","1030","1010000",3,,1,2
140,"2024-07-11 00:00:00","1200","1010000",3,,0,2
147,"2024-05-14 00:00:00","1030","1010000",1,,0,2
148,"2024-05-29 00:00:00","1100","1010010",1,,0,2
