"team_instructor_id","team_id","instructor_id","is_invite_accepted"
90,22,42,1
91,22,44,1
92,22,45,1
93,22,46,1
94,22,47,1
95,23,48,1
96,23,49,1
97,23,50,1
98,23,51,1
99,24,52,1
100,24,53,1
101,24,54,1
102,24,55,1
103,24,56,1
104,25,57,1
105,25,58,1
106,25,59,1
107,25,60,1
108,25,61,1
109,26,62,1
110,26,63,1
111,26,64,1
112,26,65,1
113,27,66,1
114,27,67,1
115,27,68,1
116,27,69,1
117,28,70,1
118,28,71,1
119,28,72,1
120,28,73,1
121,29,74,1
122,29,75,1
123,29,76,1
124,29,77,1
125,30,78,1
126,30,79,1
127,30,80,1
128,30,82,1
132,30,113,1
133,24,113,1
134,25,113,1
137,31,119,1
138,31,120,1
139,31,121,1
140,31,122,1
141,31,123,1
142,32,114,1
143,32,115,1
144,32,116,1
145,32,117,1
146,32,118,1
148,32,124,1
